project_key,branch_id,project_leader,project_coordinator,project_type,status,source
108063,1-20,Julie Smith,Mark Livingston,Planning,Inactive,Sole Source
108064,1-70,Rick Wood,Joseph Johnson,Land Development,Inactive,Sole Source
108065,1-40,Alisha Blackwell,Denise Lane,Planning,Inactive,Sole Source
108066,1-40,Courtney Carlson,Denise Lane,Land Development,Inactive,Sole Source
108067,1-40,Courtney Carlson,Denise Lane,Land Development,Inactive,Sole Source
108068,1-20,Angela Wilson,Zachary Johnson,Infrastructure / Engineering,Inactive,Sole Source
108069,1-20,Angela Wilson,Mark Livingston,Infrastructure / Engineering,Inactive,Sole Source
108070,1-20,Angela Wilson,Mark Livingston,Infrastructure / Engineering,Inactive,RFP
108071,1-20,Kelly Smith,Mark Livingston,Land Development,Inactive,RFP
108072,1-10,Samantha Barker,Samantha Barker,Integrated Design,Inactive,Unknown
108073,1-10,Samantha Barker,Samantha Barker,Integrated Design,Inactive,Unknown
108074,1-20,Kelly Smith,Michael Swanson,Infrastructure / Engineering,Inactive,RFP
108075,1-40,Mackenzie Lopez,Mary Johnson,General Services,Inactive,Sole Source
108076,1-60,Julie Williams,Todd Rogers,Planning,Inactive,Sole Source
108077,1-70,Rodney Owen,Joseph Johnson,Landscape Architecture,Inactive,Sole Source
108078,1-20,Kevin Mitchell,Sarah Roberson,Landscape Architecture,Inactive,Unknown
108079,1-20,Kevin Mitchell,Sarah Roberson,Landscape Architecture,Inactive,Unknown
108080,1-20,Kevin Mitchell,Sarah Roberson,Landscape Architecture,Inactive,Unknown
108081,1-20,Kevin Mitchell,Sarah Roberson,Landscape Architecture,Inactive,Unknown
108082,1-20,Kevin Mitchell,Sarah Roberson,Landscape Architecture,Inactive,Unknown
108083,1-20,Elizabeth Carr,Sarah Roberson,Planning,Inactive,Unknown
108084,1-20,Elizabeth Carr,Sarah Roberson,Planning,Inactive,Unknown
108085,1-20,Elizabeth Carr,Sarah Roberson,Planning,Inactive,Unknown
108086,1-20,Robert White,Sarah Roberson,Water & Wastewater,Inactive,Sole Source
108087,1-40,Danielle Martinez,Carol Ferrell,Planning,Inactive,Sole Source
108088,1-00,Erika Huang,Mary White,General Services,Active,Sole Source
108089,1-00,Erika Huang,Mary White,General Services,Active,Sole Source
108090,1-00,Erika Huang,Mary White,General Services,Active,Sole Source
108091,1-10,Mark Schwartz,Mary White,Land Development,Inactive,Sole Source
108092,1-40,Jonathan Hill,Joanne Jenkins,Land Development,Inactive,Sole Source
108093,1-40,Jonathan Hill,Joanne Jenkins,Land Development,Inactive,Sole Source
108094,1-40,Brandon Hampton,Carol Ferrell,Land Development,Active,Sole Source
108095,1-20,Vanessa Gray,Sarah Roberson,Transportation,Inactive,Unknown
108096,1-20,Justin Lang,Sarah Roberson,Infrastructure / Engineering,Inactive,Sole Source
108097,1-20,Justin Lang,Sarah Roberson,Infrastructure / Engineering,Inactive,Sole Source
108098,1-20,Alisha Blackwell,Sarah Roberson,Land Development,Inactive,Unknown
108099,1-20,Alisha Blackwell,Sarah Roberson,Land Development,Inactive,Unknown
108100,1-20,Alisha Blackwell,Sarah Roberson,Land Development,Inactive,Unknown
108101,1-20,Justin Lang,Sarah Roberson,Land Development,Inactive,RFP
108102,1-40,Kathryn Cook,Carol Ferrell,Infrastructure / Engineering,Inactive,Sole Source
108103,1-40,Kathryn Cook,Carol Ferrell,Land Development,Inactive,Sole Source
108104,1-40,Chelsea Ramos,Gregory Cruz,Infrastructure / Engineering,Inactive,Sole Source
108105,1-40,Greg Wright,Denise Lane,Water & Wastewater,Inactive,RFP
108106,1-00,Dawn Haas,Dawn Haas,General Services,Inactive,Sole Source
108107,1-20,Patricia Garcia,Mark Livingston,General Services,Inactive,Sole Source
108108,1-20,Patricia Garcia,Mark Livingston,General Services,Inactive,Sole Source
108109,1-20,Patricia Garcia,Mark Livingston,Infrastructure / Engineering,Active,RFP
108110,1-20,Eric Evans,Tyler Stevenson,Planning,Inactive,RFP
108111,1-20,Eric Evans,Tyler Stevenson,Planning,Inactive,RFP
108112,1-20,Jaclyn Thomas,Mark Livingston,Land Development,Inactive,Sole Source
108113,1-20,Erin Poole,James Flores,Environmental,Inactive,Unknown
108114,3-40,John Edwards,Denise Lane,Survey - Legal,Inactive,Sole Source
108115,1-40,Julie Taylor MD,Yvette Henderson,Land Development,Inactive,Sole Source
108116,1-60,Bailey Carr,Robert Leonard Jr.,Transportation,Inactive,RFP
108117,1-40,John Mcgee,Benjamin Elliott,Infrastructure / Engineering,Inactive,Sole Source
108118,1-60,Erika Rivera,Brittany Glass,Infrastructure / Engineering,Inactive,Sole Source
108119,1-40,Charles Williams MD,Denise Lane,Land Development,Inactive,Sole Source
108120,1-20,Whitney Reed,Sarah Roberson,Infrastructure / Engineering,Inactive,Unknown
108121,1-40,Chelsea Ramos,Carol Ferrell,Land Development,Inactive,Sole Source
108122,1-20,Robert White,Sarah Roberson,Water & Wastewater,Inactive,Unknown
108123,1-20,Robert White,Sarah Roberson,Water & Wastewater,Inactive,Unknown
108124,1-20,Robert White,Sarah Roberson,Water & Wastewater,Inactive,Unknown
108125,1-20,Robert White,Sarah Roberson,Water & Wastewater,Inactive,Unknown
108126,1-20,Robert White,Sarah Roberson,Water & Wastewater,Inactive,Unknown
108127,1-20,Robert White,Sarah Roberson,Integrated Design,Inactive,Sole Source
108128,1-70,Trevor Everett,Chad Morgan,Transportation,Inactive,Sole Source
108129,1-70,Dana Davis,Kelly Parsons,Unknown,Inactive,Unknown
108130,1-70,Dana Davis,Kelly Parsons,Unknown,Inactive,Unknown
108131,1-60,Mrs. Mary Brown,Robert Brown,Transportation,Inactive,RFP
108132,1-40,Steven Rojas,Gregory Newman,Land Development,Inactive,Sole Source
108133,1-40,Julie Taylor MD,Gregory Newman,Land Development,Active,Sole Source
108134,1-40,Melissa Maldonado,Mary Johnson,Land Development,Inactive,Sole Source
108135,1-20,Eric Evans,Mark Livingston,Infrastructure / Engineering,Inactive,Sole Source
108136,1-20,Eric Evans,Mark Livingston,Infrastructure / Engineering,Inactive,Sole Source
108137,1-20,Eric Evans,Mark Livingston,Infrastructure / Engineering,Inactive,Sole Source
108138,1-70,Louis Johnson,Alexa Castillo,Energy,Inactive,RFP
108139,1-70,Louis Johnson,Alexa Castillo,Planning,Inactive,RFP
108140,1-20,Robert White,Zachary Johnson,General Services,Inactive,Sole Source
108141,1-20,Kelly Smith,Sarah Roberson,Land Development,Inactive,Sole Source
108142,1-20,Angela Wilson,Sarah Roberson,Land Development,Inactive,Sole Source
108143,1-60,Joseph Hebert,Larry Watson,Planning,Inactive,Sole Source
108144,1-60,Julie Williams,Yvonne Mathis,Planning,Inactive,Sole Source
108145,1-40,Mackenzie Lopez,Gregory Cruz,Land Development,Active,Sole Source
108146,1-20,Angela Wilson,Sarah Roberson,Land Development,Inactive,Sole Source
108147,1-20,Angela Wilson,Sarah Roberson,Water & Wastewater,Inactive,RFP
108148,1-20,Angela Wilson,Mark Livingston,Infrastructure / Engineering,Inactive,Sole Source
108149,1-70,Donna Brown,Christine Rubio,Water & Wastewater,Inactive,Sole Source
108150,1-70,Donna Brown,Christine Rubio,Water & Wastewater,Inactive,Sole Source
108151,1-20,Angela Wilson,Mark Livingston,Water & Wastewater,Inactive,Sole Source
108152,1-20,Angela Wilson,Mark Livingston,Water & Wastewater,Inactive,Sole Source
108153,1-80,Matthew Murray,Ethan Dixon,General Services,Inactive,Sole Source
108154,1-80,Ernest Fuller,Ethan Dixon,General Services,Inactive,Sole Source
108155,1-80,Ernest Fuller,Ethan Dixon,General Services,Inactive,Sole Source
108156,1-40,Jonathan Hill,Denise Lane,Stormwater,Inactive,Sole Source
108157,1-40,Jonathan Hill,Denise Lane,Land Development,Inactive,Sole Source
108158,1-40,Jonathan Hill,Denise Lane,Land Development,Active,Sole Source
108159,1-40,Jonathan Hill,Denise Lane,Land Development,Active,Sole Source
108160,1-60,Melissa Hood,Yvonne Mathis,Planning,Inactive,Sole Source
108161,1-61,Elijah Barnes,Sarah Frank,Transportation,Inactive,RFP
108162,1-40,Eric Barajas,Benjamin Elliott,Water & Wastewater,Inactive,Sole Source
108163,1-40,Charles Williams MD,Denise Lane,Land Development,Active,Sole Source
108164,1-40,Charles Williams MD,Denise Lane,Land Development,Active,Sole Source
108165,1-70,Maurice Smith,Joseph Johnson,Land Development,Inactive,Unknown
108166,1-40,Timothy Anderson,Denise Lane,Land Development,Inactive,Sole Source
108167,1-40,Teresa Brown,Denise Lane,Land Development,Inactive,Sole Source
108168,1-40,Teresa Brown,Denise Lane,Land Development,Inactive,Sole Source
108169,1-40,Teresa Brown,Denise Lane,Land Development,Inactive,Sole Source
108170,1-20,Calvin Buckley,Zachary Johnson,General Services,Inactive,Sole Source
108171,1-40,John Mcgee,Unknown,Unknown,Inactive,Unknown
108172,1-20,Calvin Buckley,Zachary Johnson,General Services,Inactive,Sole Source
108173,1-20,Calvin Buckley,Zachary Johnson,General Services,Inactive,Sole Source
108174,1-40,Julie Evans,Ashley Black,Land Development,Inactive,RFP
108175,1-40,Julie Evans,Denise Lane,Land Development,Inactive,Sole Source
108176,1-40,Julie Evans,Denise Lane,Land Development,Inactive,Sole Source
108177,1-20,Calvin Buckley,Zachary Johnson,Integrated Design,Inactive,Sole Source
108178,1-20,Calvin Buckley,Zachary Johnson,Water & Wastewater,Inactive,Sole Source
108179,1-40,Michelle George,Benjamin Elliott,Planning,Inactive,RFP
108180,1-30,Ricardo Curry,Yvette Henderson,Energy,Inactive,Sole Source
108181,1-00,Scott Ramsey,Scott Ramsey,Communication & Engagement,Active,Sole Source
108182,1-00,Scott Ramsey,Scott Ramsey,Communication & Engagement,Active,Sole Source
108183,1-00,Scott Ramsey,Scott Ramsey,Communication & Engagement,Active,Sole Source
108184,1-00,Scott Ramsey,Scott Ramsey,Communication & Engagement,Active,Sole Source
108185,1-00,Scott Ramsey,Scott Ramsey,Communication & Engagement,Active,Sole Source
108186,1-00,Scott Ramsey,Scott Ramsey,Communication & Engagement,Active,Sole Source
108187,1-00,Scott Ramsey,Scott Ramsey,Communication & Engagement,Active,Sole Source
108188,1-20,Jaclyn Thomas,Zachary Johnson,Transportation,Inactive,Sole Source
108189,1-20,Jaclyn Thomas,Zachary Johnson,Transportation,Inactive,Sole Source
108190,1-30,Kellie Smith,Michael Vasquez,Environmental,Inactive,Sole Source
108191,1-30,Kellie Smith,Michael Vasquez,Environmental,Inactive,Sole Source
108192,1-70,Louis Johnson,Jason Jackson,Planning,Active,RFP
108193,1-40,Brandon Hampton,Carol Ferrell,Land Development,Active,Sole Source
108194,1-20,Eric Evans,Zachary Johnson,General Services,Inactive,Sole Source
108195,1-20,Eric Evans,Zachary Johnson,General Services,Inactive,Sole Source
108196,1-70,Louis Johnson,Michael Zavala,Economic Development,Inactive,Sole Source
108197,1-20,Lisa Walker,Mark Livingston,Survey - Legal,Inactive,Sole Source
108198,1-70,Dana Davis,Alexa Castillo,Planning,Inactive,Sole Source
108199,1-70,Dana Davis,Alexa Castillo,Planning,Inactive,Sole Source
108200,1-70,Dana Davis,Alexa Castillo,Planning,Inactive,Sole Source
108201,1-40,Melissa Maldonado,Yvette Henderson,Land Development,Inactive,Sole Source
108202,1-40,Melissa Maldonado,Yvette Henderson,Land Development,Inactive,Sole Source
108203,1-40,Jonathan Hill,Yvette Henderson,Land Development,Inactive,Sole Source
108204,1-40,John Mcgee,Yvette Henderson,Infrastructure / Engineering,Inactive,Sole Source
108205,1-40,Caleb Mills,Carol Ferrell,Planning,Inactive,Sole Source
108206,3-40,John Edwards,Denise Lane,Land Development,Inactive,Sole Source
108207,3-40,John Edwards,Denise Lane,Land Development,Inactive,Sole Source
108208,1-70,Dennis Thompson,Christina Torres,Land Development,Inactive,Sole Source
108209,1-40,Courtney Morrow,Gregory Newman,Transportation,Inactive,Sole Source
108210,1-40,Mackenzie Lopez,Lori Lopez,Land Development,Inactive,Sole Source
108211,1-40,William Hamilton,Gregory Newman,Environmental,Inactive,Sole Source
108212,3-40,John Edwards,Denise Lane,Survey - Construction,Inactive,Sole Source
108213,1-20,Austin Alexander DDS,Mark Livingston,Land Development,Inactive,Sole Source
108214,1-70,Lisa Harris,Gilbert Mason,Environmental,Inactive,Unknown
108215,1-20,Sean Watkins,Sarah Roberson,Landscape Architecture,Inactive,RFP
108216,1-20,Kelly Smith,Zachary Johnson,General Services,Inactive,Sole Source
108217,1-20,Kathleen Garcia,Mark Livingston,Water & Wastewater,Inactive,Sole Source
108218,1-20,Kathleen Garcia,Mark Livingston,Water & Wastewater,Inactive,Sole Source
108219,1-20,Kathleen Garcia,Mark Livingston,Water & Wastewater,Inactive,Sole Source
108220,1-20,Kathleen Garcia,Mark Livingston,Water & Wastewater,Active,Sole Source
108221,1-20,Kathleen Garcia,Mark Livingston,Water & Wastewater,Active,Sole Source
108222,1-20,Angela Wilson,Zachary Johnson,Asset Management,Inactive,Sole Source
108223,1-20,Kelly Smith,Zachary Johnson,Infrastructure / Engineering,Inactive,Sole Source
108224,1-70,Michael Crawford,Sarah Barron,Communication & Engagement,Inactive,RFP
108225,1-40,Connie Martin,Yvette Henderson,Stormwater,Inactive,Sole Source
108226,1-40,Adam Walker,Yvette Henderson,Transportation,Inactive,Sole Source
108227,1-40,Adam Walker,Yvette Henderson,Transportation,Inactive,Sole Source
108228,1-20,Michael Crawford,Sarah Roberson,Communication & Engagement,Inactive,RFP
108229,1-61,Elijah Barnes,George Rodgers,Communication & Engagement,Inactive,Sole Source
108230,1-70,Denise Thompson,Joseph Johnson,Land Development,Inactive,RFP
108231,3-20,Joseph Vargas,Michael Swanson,Survey - Legal,Inactive,Sole Source
108232,1-20,Vanessa Gray,Charles Mccoy,Water & Wastewater,Inactive,Unknown
108233,1-20,Vanessa Gray,Charles Mccoy,Water & Wastewater,Inactive,Unknown
108234,1-20,Vanessa Gray,Charles Mccoy,Water & Wastewater,Inactive,Unknown
108235,1-70,Zoe Mcintyre,Jacob Wells,Infrastructure / Engineering,Inactive,Sole Source
108236,1-70,Zoe Mcintyre,Jacob Wells,Infrastructure / Engineering,Inactive,Sole Source
108237,1-10,Christopher Williams,Kyle Stephenson,Water & Wastewater,Inactive,RFP
108238,1-10,Christopher Williams,Kyle Stephenson,Water & Wastewater,Inactive,RFP
108239,1-10,Douglas Brown,Kyle Stephenson,Environmental,Inactive,Sole Source
108240,1-40,Christopher Parker,Gregory Newman,Transportation,Active,Sole Source
108241,1-40,Christopher Parker,Gregory Newman,Transportation,Active,Sole Source
108242,1-60,Brett Lopez,Dennis Francis,Water & Wastewater,Inactive,Sole Source
108243,1-70,Jonathan Mckinney,Joseph Johnson,Environmental,Inactive,Sole Source
108244,1-70,Dana Davis,Kim Robertson,Planning,Inactive,Unknown
108245,1-40,Julie Taylor MD,Gregory Newman,Water & Wastewater,Inactive,Sole Source
108246,1-10,George Holden,Tristan Hunter,Strategic Services,Inactive,Sole Source
108247,1-10,George Holden,Tristan Hunter,Strategic Services,Inactive,Sole Source
108248,1-20,Rachel Lawrence,Sarah Roberson,Land Development,Inactive,Unknown
108249,1-20,Rachel Lawrence,Sarah Roberson,Land Development,Inactive,Unknown
108250,1-20,Rachel Lawrence,Sarah Roberson,Land Development,Inactive,Unknown
108251,3-20,Lisa Walker,Amy Trevino,Survey - Legal,Inactive,Sole Source
108252,3-20,Lisa Walker,Amy Trevino,Survey - Legal,Inactive,Sole Source
108253,1-20,Brandon Gonzalez,Sarah Roberson,Landscape Architecture,Inactive,Unknown
108254,1-20,Brandon Gonzalez,Sarah Roberson,Landscape Architecture,Inactive,Unknown
108255,1-20,Brandon Gonzalez,Sarah Roberson,Environmental,Inactive,RFP
108256,1-20,Kelly Smith,Sarah Roberson,Infrastructure / Engineering,Inactive,RFP
108257,1-20,Kelly Smith,Sarah Roberson,Infrastructure / Engineering,Inactive,RFP
108258,1-20,Angela Wilson,Tyler Stevenson,Land Development,Inactive,Sole Source
108259,1-20,Angela Wilson,Tyler Stevenson,Land Development,Inactive,Sole Source
108260,1-20,Kelly Smith,Mark Livingston,Infrastructure / Engineering,Inactive,RFP
108261,1-20,Calvin Buckley,Michael Swanson,Land Development,Inactive,Sole Source
108262,1-20,Calvin Buckley,Michael Swanson,Land Development,Inactive,Sole Source
108263,1-70,Maurice Smith,Christine Rubio,Water & Wastewater,Active,Sole Source
108264,1-70,Maurice Smith,Joseph Johnson,Water & Wastewater,Inactive,Sole Source
108265,1-70,Maurice Smith,Joseph Johnson,Water & Wastewater,Inactive,Sole Source
108266,1-70,Maurice Smith,Joseph Johnson,Water & Wastewater,Inactive,Sole Source
108267,1-40,Greg Wright,Carol Ferrell,Stormwater,Inactive,Sole Source
108268,1-40,Greg Wright,Carol Ferrell,General Services,Active,Sole Source
108269,1-20,Steven Rojas,Sarah Roberson,Landscape Architecture,Inactive,Unknown
108270,1-20,Tracy Hardy,Mark Livingston,Survey - Legal,Active,Sole Source
108271,1-20,Tracy Hardy,Mark Livingston,Survey - Legal,Active,Sole Source
108272,1-20,Vanessa Gray,Mark Livingston,General Services,Inactive,Sole Source
108273,1-20,Vanessa Gray,Mark Livingston,Water & Wastewater,Inactive,Sole Source
108274,1-20,Vanessa Gray,Mark Livingston,Planning,Inactive,Sole Source
108275,1-10,Sabrina Haney,Mandy Ray DDS,Water & Wastewater,Inactive,Unknown
108276,3-20,Joseph Vargas,Michael Swanson,Survey - Construction,Inactive,Sole Source
108277,1-20,Teresa Mayer,Sarah Roberson,Land Development,Inactive,Unknown
108278,1-20,Alan Martinez,Dennis Francis,Water & Wastewater,Inactive,RFP
108279,1-20,Elaine Kelly,Yolanda Delgado,Economic Development,Active,Sole Source
108280,1-20,Elaine Kelly,Yolanda Delgado,Economic Development,Active,Sole Source
108281,1-20,Steven Rojas,Sarah Roberson,Landscape Architecture,Inactive,Unknown
108282,1-20,Steven Rojas,Sarah Roberson,Landscape Architecture,Inactive,Unknown
108283,1-40,Chelsea Ramos,Mary Johnson,Land Development,Inactive,Sole Source
108284,1-00,Felicia Duncan,Timothy Herrera,Transportation,Active,Unknown
108285,1-00,Katrina Walsh,Timothy Herrera,General Services,Active,Sole Source
108286,1-00,Katrina Walsh,Timothy Herrera,General Services,Active,Sole Source
108287,1-00,Katrina Walsh,Timothy Herrera,General Services,Active,Sole Source
108288,1-30,Melanie Yoder,John Johnson,Land Development,Inactive,Sole Source
108289,1-30,Melanie Yoder,John Johnson,Land Development,Inactive,Sole Source
108290,1-20,Calvin Buckley,Zachary Johnson,Infrastructure / Engineering,Active,RFP
108291,1-70,Dana Davis,Alexa Castillo,Planning,Inactive,Sole Source
108292,1-10,Elizabeth Carr,Kyle Stephenson,Planning,Inactive,Sole Source
108293,1-20,Lisa Walker,Mark Livingston,Survey - Legal,Inactive,Sole Source
108294,1-20,Rachel Lawrence,Rachel Jenkins,Infrastructure / Engineering,Inactive,RFP
108295,1-40,Mackenzie Lopez,Yvette Henderson,Land Development,Inactive,Sole Source
108296,1-20,Rebecca Miller,Mark Livingston,Transportation,Inactive,RFP
108297,1-20,Rebecca Miller,Mark Livingston,Transportation,Inactive,RFP
108298,1-20,Rebecca Miller,Mark Livingston,Transportation,Inactive,RFP
108299,1-20,Steven Rojas,Mark Livingston,Landscape Architecture,Inactive,Sole Source
108300,1-20,Kathleen Garcia,James Flores,Water & Wastewater,Inactive,Sole Source
108301,1-20,Kathleen Garcia,James Flores,Water & Wastewater,Inactive,Sole Source
108302,1-60,Jonathan Tyler,Brittany Glass,Infrastructure / Engineering,Inactive,Sole Source
108303,1-60,Jonathan Tyler,Brittany Glass,Infrastructure / Engineering,Active,Sole Source
108304,1-60,Jonathan Tyler,Brittany Glass,Infrastructure / Engineering,Inactive,Sole Source
108305,1-20,Eric Evans,Rachel Jenkins,Water & Wastewater,Inactive,RFP
108306,1-20,Eric Evans,James Flores,Water & Wastewater,Inactive,Unknown
108307,1-40,Melissa Maldonado,Denise Lane,Land Development,Inactive,Sole Source
108308,1-40,Kathryn Cook,Denise Lane,Planning,Inactive,Sole Source
108309,1-40,Kathryn Cook,Denise Lane,Planning,Inactive,Sole Source
108310,1-20,Teresa Mayer,Zachary Johnson,Land Development,Inactive,Sole Source
108311,1-20,Robert White,Zachary Johnson,Infrastructure / Engineering,Inactive,Sole Source
108312,1-70,Dana Davis,Christine Rubio,Planning,Inactive,Sole Source
108313,1-40,Frederick Brewer,Carol Ferrell,Infrastructure / Engineering,Inactive,Sole Source
108314,1-20,Julie Smith,Mark Livingston,Planning,Inactive,RFP
108315,1-20,Julie Smith,Mark Livingston,Planning,Inactive,RFP
108316,1-20,Jonathan Mckinney,Mark Livingston,Water & Wastewater,Inactive,Sole Source
108317,1-70,Aaron Leonard,Joseph Johnson,Land Development,Inactive,Unknown
108318,3-20,Lisa Walker,Michael Swanson,Survey - Legal,Inactive,Sole Source
108319,3-20,Lisa Walker,Michael Swanson,Survey - Legal,Inactive,Sole Source
108320,3-20,Lisa Walker,Amy Trevino,Survey - Geomatics,Inactive,RFP
108321,1-20,Joshua Cardenas,Sarah Roberson,Planning,Inactive,Sole Source
108322,1-40,Mackenzie Lopez,Gregory Cruz,Land Development,Active,Sole Source
108323,1-20,Joshua Cardenas,Sarah Roberson,Land Development,Inactive,RFP
108324,1-20,Mr. Justin Hinton,Sarah Roberson,Water & Wastewater,Inactive,Sole Source
108325,1-20,Joshua Cardenas,Sarah Roberson,Planning,Inactive,Unknown
108326,1-20,Joshua Cardenas,Sarah Roberson,Planning,Inactive,Unknown
108327,3-20,Lisa Walker,Melissa Walters,Survey - Legal,Inactive,RFP
108328,5-10,Trevor George,Robert Leonard Jr.,Urban Matters,Inactive,RFP
108329,1-20,Kelly Smith,Zachary Johnson,Infrastructure / Engineering,Inactive,Sole Source
108330,1-20,Steven Rojas,Sarah Roberson,Land Development,Inactive,Sole Source
108331,1-20,Rebecca Miller,Mark Livingston,Infrastructure / Engineering,Inactive,Sole Source
108332,1-20,Heather Robinson,Mark Livingston,Environmental,Inactive,Sole Source
108333,1-20,Rebecca Miller,Sarah Roberson,Transportation,Inactive,Sole Source
108334,1-20,Rebecca Miller,Sarah Roberson,Transportation,Inactive,Sole Source
108335,1-40,Danielle Martinez,Carol Ferrell,GIS,Inactive,Sole Source
108336,1-70,Dana Davis,Kim Robertson,Planning,Inactive,Unknown
108337,1-70,Stephanie Herrera,Joseph Johnson,Water & Wastewater,Inactive,Sole Source
108338,1-20,Jaclyn Thomas,Sarah Roberson,Infrastructure / Engineering,Inactive,Sole Source
108339,1-20,Vanessa Gray,Sarah Roberson,Transportation,Inactive,Unknown
108340,1-70,Louis Johnson,Alexa Castillo,Planning,Inactive,Sole Source
108341,1-10,Kenneth Hall,Kyle Stephenson,General Services,Inactive,RFP
108342,3-40,Teresa Wallace,Carol Ferrell,Survey - Construction,Inactive,Sole Source
108343,3-20,Tracy Hardy,Amy Trevino,Survey - Legal,Inactive,Sole Source
108344,1-40,Christopher Parker,Carol Ferrell,Transportation,Active,Sole Source
108345,1-40,Frederick Brewer,Carol Ferrell,Infrastructure / Engineering,Inactive,Sole Source
108346,1-20,Robert White,Sarah Roberson,Infrastructure / Engineering,Inactive,RFP
108347,1-20,Robert White,Sarah Roberson,Infrastructure / Engineering,Inactive,RFP
108348,1-60,Heather Miller,Yvonne Mathis,General Services,Inactive,Sole Source
108349,1-60,Heather Miller,Yvonne Mathis,General Services,Inactive,Sole Source
108350,1-40,Brandon Hampton,Carol Ferrell,Land Development,Inactive,Sole Source
108351,1-40,Brandon Hampton,Carol Ferrell,Land Development,Inactive,Sole Source
108352,1-40,Brandon Hampton,Carol Ferrell,Land Development,Inactive,Sole Source
108353,3-40,Nicolas Meyers,Carol Ferrell,Survey - Construction,Inactive,Sole Source
108354,1-80,Ian Jackson,Richard Hogan,General Services,Inactive,Sole Source
108355,1-80,Ian Jackson,Richard Hogan,Water & Wastewater,Inactive,Sole Source
108356,1-40,Frederick Brewer,Carol Ferrell,Infrastructure / Engineering,Active,Sole Source
108357,1-20,Kayla Lee,Mark Livingston,Transportation,Inactive,Sole Source
108358,1-20,Patricia Garcia,Mark Livingston,Infrastructure / Engineering,Inactive,Sole Source
108359,1-20,Patricia Garcia,Mark Livingston,Infrastructure / Engineering,Inactive,Sole Source
108360,1-20,Patricia Garcia,Mark Livingston,Land Development,Active,Sole Source
108361,1-20,Patricia Garcia,Mark Livingston,Land Development,Active,Sole Source
108362,1-20,Patricia Garcia,Mark Livingston,Infrastructure / Engineering,Inactive,Sole Source
108363,1-20,Patricia Garcia,Mark Livingston,Infrastructure / Engineering,Active,Sole Source
108364,1-40,Courtney Carlson,Ashley Black,Land Development,Inactive,Sole Source
108365,1-61,Brittney Banks,Joshua Shepherd,General Services,Inactive,Sole Source
108366,1-61,Brittney Banks,Joshua Shepherd,Planning,Inactive,Sole Source
108367,1-20,Calvin Buckley,Zachary Johnson,General Services,Inactive,Sole Source
108368,1-60,Bailey Carr,Robert Leonard Jr.,General Services,Inactive,RFP
108369,1-60,Bailey Carr,Robert Leonard Jr.,General Services,Inactive,RFP
108370,1-60,Bailey Carr,Robert Leonard Jr.,General Services,Inactive,RFP
108371,1-60,Bailey Carr,Robert Leonard Jr.,General Services,Inactive,RFP
108372,1-40,Charles Williams MD,Yvette Henderson,Land Development,Inactive,Sole Source
108373,1-40,Charles Williams MD,Yvette Henderson,Land Development,Inactive,Sole Source
108374,3-40,Lucas Scott,Yvette Henderson,Survey - Construction,Inactive,Sole Source
108375,1-40,Bryan Flores,Yvette Henderson,Land Development,Inactive,Sole Source
108376,1-40,Bryan Flores,Yvette Henderson,Land Development,Inactive,Sole Source
108377,1-60,Denise Thompson,Andrew Cochran,Asset Management,Inactive,Sole Source
108378,1-60,Denise Thompson,Andrew Cochran,Asset Management,Inactive,Sole Source
108379,1-15,Deborah Hoover,Jon Miller,Planning,Inactive,Sole Source
108380,1-20,Whitney Reed,Mark Livingston,Asset Management,Inactive,RFP
108381,1-20,Whitney Reed,Mark Livingston,Asset Management,Inactive,RFP
108382,1-20,Joel Carroll,Jason Ford,Planning,Inactive,Unknown
108383,1-61,Elijah Barnes,Sarah Frank,Transportation,Active,RFP
108384,1-40,Julie Evans,Denise Lane,Land Development,Inactive,Sole Source
108385,3-40,John Edwards,Kristen Brandt,Survey - Legal,Inactive,Sole Source
108386,1-35,William Shah,Jessica Key,Planning,Active,Sole Source
108387,1-40,Caleb Mills,Benjamin Elliott,Planning,Inactive,Sole Source
108388,1-40,Caleb Mills,Benjamin Elliott,Planning,Inactive,Sole Source
108389,1-40,Steven Rojas,Denise Lane,Landscape Architecture,Inactive,Sole Source
108390,1-70,Michael Crawford,Gilbert Mason,Communication & Engagement,Inactive,RFP
108391,1-70,Michael Crawford,Alexa Castillo,Communication & Engagement,Inactive,RFP
108392,1-70,Michael Crawford,Alexa Castillo,Communication & Engagement,Inactive,RFP
108393,1-70,Michael Crawford,Alexa Castillo,Communication & Engagement,Inactive,RFP
108394,1-40,William Hamilton,Yvette Henderson,Environmental,Inactive,Sole Source
108395,1-40,Tara Salinas,Yvette Henderson,Landscape Architecture,Inactive,Sole Source
108396,1-20,Jaclyn Thomas,Zachary Johnson,General Services,Active,Sole Source
108397,1-20,Jaclyn Thomas,Zachary Johnson,General Services,Active,Sole Source
108398,1-20,Jaclyn Thomas,Zachary Johnson,General Services,Active,Sole Source
108399,1-20,Shannon Payne,Zachary Johnson,Energy,Inactive,RFP
108400,1-65,Deborah Mitchell,Robert Leonard Jr.,General Services,Inactive,RFP
108401,1-65,Deborah Mitchell,Robert Leonard Jr.,General Services,Inactive,RFP
108402,1-70,Louis Johnson,Michael Zavala,Energy,Inactive,Sole Source
108403,1-20,Adam Walker,Zachary Johnson,Asset Management,Active,Sole Source
